Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DameHeight,YearComissioned,Retrofit,lon,lat,projectID,YearDecommissioning
Bio 1,Bioenergy,OCGT,CHP,DE,0.08,,,,,02.01.1900,,8.578018405,48.29242877,{'JRC': ['00000']},
Bio 2,Bioenergy,OCGT,CHP,DE,1.053,,,,,27.06.1905,,10.63753985,48.8439812,{'JRC': ['00000']},
Bio 3,Bioenergy,OCGT,CHP,DE,0.5,,,,,01.01.1911,,9.119152773,48.95822306,{'JRC': ['00000']},
Bio 4,Bioenergy,OCGT,CHP,DE,28,,,,,01.09.1966,,8.495850693,49.533744,{'JRC': ['00000']},
Bio 5,Bioenergy,OCGT,CHP,DE,19.47,,,,,01.01.1969,,9.051288732,49.97225127,{'JRC': ['00000']},
Bio 6,Bioenergy,OCGT,CHP,DE,1.07,,,,,01.07.1974,,12.65883829,49.2131694,{'JRC': ['00000']},
Bio 7,Bioenergy,OCGT,CHP,DE,1.536,,,,,01.06.1981,,9.067206422,54.58959575,{'JRC': ['00000']},
Bio 8,Bioenergy,OCGT,CHP,DE,0.12,,,,,13.08.1982,,8.023744591,48.58007442,{'JRC': ['00000']},
Bio 9,Bioenergy,OCGT,CHP,DE,0.06,,,,,01.01.1983,,8.033653807,48.40806358,{'JRC': ['00000']},
Bio 10,Bioenergy,OCGT,CHP,DE,0.086,,,,,01.01.1983,,9.056598982,50.01587717,{'JRC': ['00000']},
Bio 11,Bioenergy,OCGT,CHP,DE,0.95,,,,,01.01.1984,,10.3193815,54.2245982,{'JRC': ['00000']},
Bio 12,Bioenergy,OCGT,CHP,DE,2.6,,,,,01.01.1984,,10.33984166,47.74318819,{'JRC': ['00000']},
Bio 13,Bioenergy,OCGT,CHP,DE,0.18,,,,,01.01.1984,,10.8621695,48.03144314,{'JRC': ['00000']},
Bio 14,Bioenergy,OCGT,CHP,DE,1,,,,,13.09.1984,,12.12771481,48.3382977,{'JRC': ['00000']},
Bio 15,Bioenergy,OCGT,CHP,DE,0.03,,,,,18.12.1984,,8.265635179,48.13365934,{'JRC': ['00000']},
Bio 16,Bioenergy,OCGT,CHP,DE,0.034,,,,,01.07.1986,,8.174117429,48.47519608,{'JRC': ['00000']},
Bio 17,Bioenergy,OCGT,CHP,DE,0.43,,,,,20.10.1986,,9.325133094,49.18252994,{'JRC': ['00000']},
Bio 18,Bioenergy,OCGT,CHP,DE,5.6,,,,,03.03.1987,,6.242461788,51.03387397,{'JRC': ['00000']},
Bio 19,Bioenergy,OCGT,CHP,DE,1.94,,,,,01.04.1987,,12.7516946,48.40719872,{'JRC': ['00000']},
Bio 20,Bioenergy,OCGT,CHP,DE,0.06,,,,,01.07.1987,,9.388937941,51.21746582,{'JRC': ['00000']},
Bio 21,Bioenergy,OCGT,CHP,DE,0.52,,,,,01.01.1988,,10.02446354,52.6083327,{'JRC': ['00000']},
Bio 22,Bioenergy,OCGT,CHP,DE,0.19,,,,,18.04.1988,,6.106329559,50.86993447,{'JRC': ['00000']},
Bio 23,Bioenergy,OCGT,CHP,DE,0.066,,,,,26.04.1988,,7.916951416,48.55782024,{'JRC': ['00000']},
Bio 24,Bioenergy,OCGT,CHP,DE,1.978,,,,,04.11.1988,,13.22220769,48.73394184,{'JRC': ['00000']},
Bio 25,Bioenergy,OCGT,CHP,DE,1.6,,,,,01.01.1989,,10.64169291,53.82101702,{'JRC': ['00000']},
Bio 26,Bioenergy,OCGT,CHP,DE,0.6,,,,,01.01.1989,,10.64169291,53.82101702,{'JRC': ['00000']},
Bio 27,Bioenergy,OCGT,CHP,DE,0.12,,,,,01.01.1989,,8.066034459,48.52055203,{'JRC': ['00000']},
Bio 28,Bioenergy,OCGT,CHP,DE,1.3,,,,,01.03.1989,,10.31081816,54.05625697,{'JRC': ['00000']},
Bio 29,Bioenergy,OCGT,CHP,DE,0.2,,,,,31.07.1989,,7.635919942,51.62307215,{'JRC': ['00000']},
Bio 30,Bioenergy,OCGT,CHP,DE,0.1,,,,,01.11.1989,,7.549821376,53.47037024,{'JRC': ['00000']},
Bio 31,Bioenergy,OCGT,CHP,DE,2.676,,,,,01.01.1990,,9.676290819,52.41113073,{'JRC': ['00000']},
Bio 32,Bioenergy,OCGT,CHP,DE,0.269,,,,,01.01.1990,,9.762847452,49.12496191,{'JRC': ['00000']},
